Case_ID,Activity,Timestamp,User,T_Code,Document_Number,Document_Type,Company_Code,Plant,Purchasing_Group,Material_Group,Vendor,Vendor_Name,Net_Value,Currency
PR-1000045666,Purchase Requisition Created,2024-09-16T15:33:45,USR_REQ06,ME51N,1000045666,NB,1000,1200,300,005,1000000345,Gamma Supplies,325317.50,RUB
PR-1000045635,Purchase Requisition Created,2024-09-17T13:34:57,USR_REQ06,ME51N,1000045635,NB,1000,1200,300,001,1000000789,Eta Services,245585.48,RUB
PR-1000045646,Purchase Requisition Created,2024-09-17T15:02:26,USR_REQ06,ME51N,1000045646,NB,1000,1100,200,004,1000000234,Beta Office LLC,1205287.55,RUB
PR-1000045621,Purchase Order Released,2024-09-17T15:45:09,USR_APPR02,ME28,4500012315,NB,1000,1100,100,005,1000000678,Zeta Industrial,152209.90,RUB
PR-1000045603,Purchase Order Released,2024-09-18T12:44:59,USR_APPR03,ME28,4500012302,NB,2000,2100,200,005,1000000123,Alpha Technologies,228871.92,RUB
PR-1000045657,Purchase Requisition Released,2024-09-18T17:22:03,USR_APPR01,ME54N,1000045657,NB,1000,1200,100,002,1000000789,Eta Services,3141822.97,RUB
PR-1000045653,Purchase Requisition Created,2024-09-19T15:11:57,USR_REQ08,ME51N,1000045653,NB,1000,1200,300,004,1000000567,Epsilon Software,4009843.73,RUB
PR-1000045604,Purchase Requisition Created,2024-09-19T16:34:16,USR_REQ10,ME51N,1000045604,NB,1000,1200,200,001,1000000234,Beta Office LLC,335456.73,RUB
PR-1000045646,Purchase Requisition Released,2024-09-20T11:28:39,USR_APPR02,ME54N,1000045646,NB,1000,1100,200,004,1000000234,Beta Office LLC,1205287.55,RUB
PR-1000045675,Purchase Requisition Created,2024-09-20T12:17:31,USR_REQ03,ME51N,1000045675,NB,1000,1200,100,003,1000000456,Delta Logistics,62855.23,RUB
PR-1000045657,RFQ Created,2024-09-20T15:38:56,USR_BUYER04,ME41,1000045658,AN,1000,1200,100,002,1000000789,Eta Services,3141822.97,RUB
PR-1000045631,Purchase Requisition Created,2024-09-23T09:39:55,USR_REQ07,ME51N,1000045631,NB,1000,1200,100,003,1000000123,Alpha Technologies,4103031.25,RUB
PR-1000045627,Purchase Requisition Created,2024-09-23T14:44:31,USR_REQ05,ME51N,1000045627,NB,2000,2100,200,003,1000000234,Beta Office LLC,261275.02,RUB
PR-1000045609,Purchase Requisition Created,2024-09-24T08:24:16,USR_REQ08,ME51N,1000045609,NB,1000,1100,100,005,1000000789,Eta Services,1010356.22,RUB
PR-1000045646,RFQ Created,2024-09-24T11:34:15,USR_BUYER03,ME41,1000045647,AN,1000,1100,200,004,1000000234,Beta Office LLC,1205287.55,RUB
PR-1000045670,Purchase Requisition Released,2024-09-24T12:24:43,USR_APPR03,ME54N,1000045670,NB,1000,1200,300,002,1000000789,Eta Services,47557.52,RUB
PR-1000045638,Purchase Requisition Created,2024-09-24T15:04:05,USR_REQ02,ME51N,1000045638,NB,2000,2100,100,004,1000000456,Delta Logistics,248804.67,RUB
PR-1000045690,Purchase Requisition Created,2024-09-24T16:02:25,USR_REQ02,ME51N,1000045690,NB,1000,1100,300,004,1000000234,Beta Office LLC,2431529.03,RUB
PR-1000045659,Purchase Order Created,2024-09-24T16:08:20,USR_BUYER05,ME21N,4500012343,NB,2000,2100,200,002,1000000234,Beta Office LLC,241783.70,RUB
PR-1000045670,Purchase Order Created,2024-09-25T09:12:51,USR_BUYER05,ME21N,4500012351,NB,1000,1200,300,002,1000000789,Eta Services,47557.52,RUB
PR-1000045638,Purchase Requisition Released,2024-09-25T14:06:47,USR_APPR03,ME54N,1000045638,NB,2000,2100,100,004,1000000456,Delta Logistics,248804.67,RUB
PR-1000045659,Purchase Order Released,2024-09-26T10:25:39,USR_APPR03,ME28,4500012343,NB,2000,2100,200,002,1000000234,Beta Office LLC,241783.70,RUB
PR-1000045690,Purchase Requisition Released,2024-09-26T12:49:54,USR_APPR02,ME54N,1000045690,NB,1000,1100,300,004,1000000234,Beta Office LLC,2431529.03,RUB
PR-1000045635,Purchase Requisition Released,2024-09-26T14:17:12,USR_APPR01,ME54N,1000045635,NB,1000,1200,300,001,1000000789,Eta Services,245585.48,RUB
PR-1000045609,Purchase Requisition Released,2024-09-26T14:44:46,USR_APPR03,ME54N,1000045609,NB,1000,1100,100,005,1000000789,Eta Services,1010356.22,RUB
PR-1000045627,Purchase Requisition Released,2024-09-26T14:52:48,USR_APPR03,ME54N,1000045627,NB,2000,2100,200,003,1000000234,Beta Office LLC,261275.02,RUB
PR-1000045621,Goods Receipt Posted,2024-09-26T16:41:17,USR_WH03,MIGO,5000078913,WE,1000,1100,100,005,1000000678,Zeta Industrial,152209.90,RUB
PR-1000045666,Purchase Requisition Released,2024-09-26T17:07:03,USR_APPR03,ME54N,1000045666,NB,1000,1200,300,005,1000000345,Gamma Supplies,325317.50,RUB
PR-1000045638,Purchase Order Created,2024-09-27T10:35:03,USR_BUYER05,ME21N,4500012328,NB,2000,2100,100,004,1000000456,Delta Logistics,248804.67,RUB
PR-1000045627,Purchase Order Created,2024-09-27T15:05:20,USR_BUYER03,ME21N,4500012320,NB,2000,2100,200,003,1000000234,Beta Office LLC,261275.02,RUB
PR-1000045666,Purchase Order Created,2024-09-27T17:34:09,USR_BUYER02,ME21N,4500012348,NB,1000,1200,300,005,1000000345,Gamma Supplies,325317.50,RUB
PR-1000045601,Purchase Requisition Created,2024-09-29T16:38:01,USR_REQ09,ME51N,1000045601,NB,2000,2100,100,001,1000000678,Zeta Industrial,1582127.25,RUB
PR-1000045690,Purchase Requisition Rejected,2024-09-30T09:35:29,USR_APPR01,ME54N,1000045690,NB,1000,1100,300,004,1000000234,Beta Office LLC,2431529.03,RUB
PR-1000045609,RFQ Created,2024-09-30T10:12:18,USR_BUYER02,ME41,1000045610,AN,1000,1100,100,005,1000000789,Eta Services,1010356.22,RUB
PR-1000045641,Purchase Requisition Created,2024-09-30T11:49:08,USR_REQ05,ME51N,1000045641,NB,2000,2100,100,003,1000000456,Delta Logistics,3584158.73,RUB
PR-1000045615,Purchase Requisition Created,2024-09-30T14:04:42,USR_REQ06,ME51N,1000045615,NB,2000,2100,100,004,1000000567,Epsilon Software,795300.75,RUB
PR-1000045670,Purchase Order Released,2024-09-30T16:13:30,USR_APPR01,ME28,4500012351,NB,1000,1200,300,002,1000000789,Eta Services,47557.52,RUB
PR-1000045601,Purchase Requisition Released,2024-09-30T16:26:14,USR_APPR02,ME54N,1000045601,NB,2000,2100,100,001,1000000678,Zeta Industrial,1582127.25,RUB
PR-1000045681,Purchase Requisition Created,2024-10-01T08:17:14,USR_REQ09,ME51N,1000045681,NB,1000,1100,200,005,1000000567,Epsilon Software,246160.91,RUB
PR-1000045607,Purchase Requisition Created,2024-10-01T08:55:21,USR_REQ02,ME51N,1000045607,NB,1000,1200,200,005,1000000456,Delta Logistics,1588668.28,RUB
PR-1000045678,Goods Receipt Posted,2024-10-01T09:18:26,USR_WH01,MIGO,5000078957,WE,2000,2100,300,003,1000000234,Beta Office LLC,40027.63,RUB
PR-1000045627,Purchase Order Released,2024-10-01T09:49:25,USR_APPR03,ME28,4500012320,NB,2000,2100,200,003,1000000234,Beta Office LLC,261275.02,RUB
PR-1000045653,Purchase Requisition Released,2024-10-01T13:42:22,USR_APPR03,ME54N,1000045653,NB,1000,1200,300,004,1000000567,Epsilon Software,4009843.73,RUB
PR-1000045666,Purchase Order Released,2024-10-01T16:28:07,USR_APPR03,ME28,4500012348,NB,1000,1200,300,005,1000000345,Gamma Supplies,325317.50,RUB
PR-1000045601,RFQ Created,2024-10-02T08:48:51,USR_BUYER02,ME41,1000045602,AN,2000,2100,100,001,1000000678,Zeta Industrial,1582127.25,RUB
PR-1000045678,Invoice Receipt Posted,2024-10-02T10:22:19,USR_AP02,MIRO,5100034556,RE,2000,2100,300,003,1000000234,Beta Office LLC,40027.63,RUB
PR-1000045675,Purchase Requisition Released,2024-10-02T10:27:17,USR_APPR02,ME54N,1000045675,NB,1000,1200,100,003,1000000456,Delta Logistics,62855.23,RUB
PR-1000045690,Purchase Requisition Created,2024-10-02T11:18:36,USR_REQ05,ME51N,1000045690,NB,1000,1100,300,004,1000000234,Beta Office LLC,2431529.03,RUB
PR-1000045646,Quotation Received,2024-10-02T11:23:43,USR_BUYER05,ME47,1000045647,AN,1000,1100,200,004,1000000234,Beta Office LLC,1205287.55,RUB
PR-1000045641,Purchase Requisition Released,2024-10-02T13:07:00,USR_APPR02,ME54N,1000045641,NB,2000,2100,100,003,1000000456,Delta Logistics,3584158.73,RUB
PR-1000045638,Purchase Order Released,2024-10-02T16:21:42,USR_APPR01,ME28,4500012328,NB,2000,2100,100,004,1000000456,Delta Logistics,248804.67,RUB
PR-1000045653,RFQ Created,2024-10-02T16:34:18,USR_BUYER03,ME41,1000045654,AN,1000,1200,300,004,1000000567,Epsilon Software,4009843.73,RUB
PR-1000045681,Purchase Requisition Released,2024-10-03T10:49:29,USR_APPR03,ME54N,1000045681,NB,1000,1100,200,005,1000000567,Epsilon Software,246160.91,RUB
PR-1000045615,Purchase Requisition Released,2024-10-03T13:42:54,USR_APPR01,ME54N,1000045615,NB,2000,2100,100,004,1000000567,Epsilon Software,795300.75,RUB
PR-1000045621,Invoice Receipt Posted,2024-10-03T15:29:27,USR_AP03,MIRO,5100034514,RE,1000,1100,100,005,1000000678,Zeta Industrial,152209.90,RUB
PR-1000045635,Goods Receipt Posted,2024-10-04T09:42:13,USR_WH03,MIGO,5000078924,WE,1000,1200,300,001,1000000789,Eta Services,245585.48,RUB
PR-1000045641,RFQ Created,2024-10-04T10:08:24,USR_BUYER05,ME41,1000045642,AN,2000,2100,100,003,1000000456,Delta Logistics,3584158.73,RUB
PR-1000045678,Invoice Verified,2024-10-04T11:33:30,USR_AP02,MIR7,5100034556,RE,2000,2100,300,003,1000000234,Beta Office LLC,40027.63,RUB
PR-1000045676,Purchase Requisition Created,2024-10-04T14:17:52,USR_REQ07,ME51N,1000045676,NB,1000,1200,200,005,1000000678,Zeta Industrial,1982406.44,RUB
PR-1000045646,Purchase Order Created,2024-10-04T15:49:18,USR_BUYER04,ME21N,4500012334,NB,1000,1100,200,004,1000000234,Beta Office LLC,1205287.55,RUB
PR-1000045675,Purchase Order Created,2024-10-04T15:50:04,USR_BUYER03,ME21N,4500012356,NB,1000,1200,100,003,1000000456,Delta Logistics,62855.23,RUB
PR-1000045617,Purchase Requisition Created,2024-10-04T17:54:49,USR_REQ02,ME51N,1000045617,NB,1000,1100,200,005,1000000678,Zeta Industrial,204381.36,RUB
PR-1000045615,RFQ Created,2024-10-07T16:19:42,USR_BUYER04,ME41,1000045616,AN,2000,2100,100,004,1000000567,Epsilon Software,795300.75,RUB
PR-1000045681,Purchase Order Created,2024-10-07T16:32:07,USR_BUYER05,ME21N,4500012361,NB,1000,1100,200,005,1000000567,Epsilon Software,246160.91,RUB
PR-1000045690,Purchase Requisition Released,2024-10-07T17:15:29,USR_APPR02,ME54N,1000045690,NB,1000,1100,300,004,1000000234,Beta Office LLC,2431529.03,RUB
PR-1000045633,Purchase Requisition Created,2024-10-08T10:40:06,USR_REQ01,ME51N,1000045633,NB,1000,1100,300,001,1000000567,Epsilon Software,485553.98,RUB
PR-1000045653,Quotation Received,2024-10-08T10:50:23,USR_BUYER05,ME47,1000045654,AN,1000,1200,300,004,1000000567,Epsilon Software,4009843.73,RUB
PR-1000045675,Purchase Order Released,2024-10-08T11:46:40,USR_APPR02,ME28,4500012356,NB,1000,1200,100,003,1000000456,Delta Logistics,62855.23,RUB
PR-1000045621,Invoice Verified,2024-10-08T12:20:54,USR_AP01,MIR7,5100034514,RE,1000,1100,100,005,1000000678,Zeta Industrial,152209.90,RUB
PR-1000045681,Purchase Order Released,2024-10-08T12:49:34,USR_APPR02,ME28,4500012361,NB,1000,1100,200,005,1000000567,Epsilon Software,246160.91,RUB
PR-1000045617,Purchase Requisition Released,2024-10-08T14:56:40,USR_APPR03,ME54N,1000045617,NB,1000,1100,200,005,1000000678,Zeta Industrial,204381.36,RUB
PR-1000045604,Purchase Requisition Released,2024-10-08T17:25:23,USR_APPR01,ME54N,1000045604,NB,1000,1200,200,001,1000000234,Beta Office LLC,335456.73,RUB
PR-1000045644,Purchase Requisition Created,2024-10-09T08:22:32,USR_REQ02,ME51N,1000045644,NB,2000,2100,200,005,1000000678,Zeta Industrial,367854.81,RUB
PR-1000045622,Purchase Order Created,2024-10-09T08:33:12,USR_BUYER01,ME21N,4500012316,NB,2000,2100,300,004,1000000345,Gamma Supplies,4344192.48,RUB
PR-1000045653,Purchase Order Created,2024-10-09T09:12:50,USR_BUYER02,ME21N,4500012339,NB,1000,1200,300,004,1000000567,Epsilon Software,4009843.73,RUB
PR-1000045603,Goods Receipt Posted,2024-10-09T09:38:40,USR_WH01,MIGO,5000078901,WE,2000,2100,200,005,1000000123,Alpha Technologies,228871.92,RUB
PR-1000045690,RFQ Created,2024-10-09T11:46:57,USR_BUYER05,ME41,1000045691,AN,1000,1100,300,004,1000000234,Beta Office LLC,2431529.03,RUB
PR-1000045663,Purchase Requisition Created,2024-10-09T12:41:03,USR_REQ02,ME51N,1000045663,NB,1000,1200,100,002,1000000123,Alpha Technologies,567519.55,RUB
PR-1000045617,Purchase Order Created,2024-10-09T14:31:25,USR_BUYER02,ME21N,4500012311,NB,1000,1100,200,005,1000000678,Zeta Industrial,204381.36,RUB
PR-1000045646,Purchase Order Released,2024-10-09T16:26:10,USR_APPR01,ME28,4500012334,NB,1000,1100,200,004,1000000234,Beta Office LLC,1205287.55,RUB
PR-1000045604,Purchase Order Created,2024-10-09T16:31:05,USR_BUYER01,ME21N,4500012303,NB,1000,1200,200,001,1000000234,Beta Office LLC,335456.73,RUB
PR-1000045617,Purchase Order Released,2024-10-10T08:57:48,USR_APPR01,ME28,4500012311,NB,1000,1100,200,005,1000000678,Zeta Industrial,204381.36,RUB
PR-1000045604,Purchase Order Released,2024-10-10T10:40:10,USR_APPR03,ME28,4500012303,NB,1000,1200,200,001,1000000234,Beta Office LLC,335456.73,RUB
PR-1000045622,Purchase Order Released,2024-10-10T14:31:35,USR_APPR01,ME28,4500012316,NB,2000,2100,300,004,1000000345,Gamma Supplies,4344192.48,RUB
PR-1000045653,Purchase Order Released,2024-10-10T15:01:23,USR_APPR03,ME28,4500012339,NB,1000,1200,300,004,1000000567,Epsilon Software,4009843.73,RUB
PR-1000045633,Purchase Requisition Released,2024-10-10T15:02:37,USR_APPR02,ME54N,1000045633,NB,1000,1100,300,001,1000000567,Epsilon Software,485553.98,RUB
PR-1000045657,Quotation Received,2024-10-10T16:00:54,USR_BUYER01,ME47,1000045658,AN,1000,1200,100,002,1000000789,Eta Services,3141822.97,RUB
PR-1000045635,Purchase Order Created,2024-10-11T08:03:50,USR_BUYER03,ME21N,4500012326,NB,1000,1200,300,001,1000000789,Eta Services,245585.48,RUB
PR-1000045633,Purchase Order Created,2024-10-11T09:58:18,USR_BUYER03,ME21N,4500012324,NB,1000,1100,300,001,1000000567,Epsilon Software,485553.98,RUB
PR-1000045644,Purchase Requisition Released,2024-10-11T15:28:02,USR_APPR01,ME54N,1000045644,NB,2000,2100,200,005,1000000678,Zeta Industrial,367854.81,RUB
PR-1000045635,Purchase Order Released,2024-10-14T10:50:36,USR_APPR01,ME28,4500012326,NB,1000,1200,300,001,1000000789,Eta Services,245585.48,RUB
PR-1000045657,Purchase Order Created,2024-10-14T10:56:16,USR_BUYER03,ME21N,4500012342,NB,1000,1200,100,002,1000000789,Eta Services,3141822.97,RUB
PR-1000045692,Purchase Requisition Created,2024-10-14T13:20:28,USR_REQ05,ME51N,1000045692,NB,1000,1100,300,001,1000000567,Epsilon Software,4207836.72,RUB
PR-1000045609,Quotation Received,2024-10-14T17:47:34,USR_BUYER01,ME47,1000045610,AN,1000,1100,100,005,1000000789,Eta Services,1010356.22,RUB
PR-1000045692,Purchase Requisition Released,2024-10-15T09:12:08,USR_APPR03,ME54N,1000045692,NB,1000,1100,300,001,1000000567,Epsilon Software,4207836.72,RUB
PR-1000045690,Quotation Received,2024-10-15T10:00:59,USR_BUYER04,ME47,1000045691,AN,1000,1100,300,004,1000000234,Beta Office LLC,2431529.03,RUB
PR-1000045631,Purchase Requisition Released,2024-10-15T11:31:58,USR_APPR03,ME54N,1000045631,NB,1000,1200,100,003,1000000123,Alpha Technologies,4103031.25,RUB
PR-1000045644,Purchase Order Created,2024-10-15T12:04:41,USR_BUYER01,ME21N,4500012332,NB,2000,2100,200,005,1000000678,Zeta Industrial,367854.81,RUB
PR-1000045650,Purchase Requisition Created,2024-10-15T14:52:34,USR_REQ08,ME51N,1000045650,NB,1000,1200,300,002,1000000789,Eta Services,3750598.25,RUB
PR-1000045635,Invoice Receipt Posted,2024-10-15T16:13:37,USR_AP01,MIRO,5100034525,RE,1000,1200,300,001,1000000789,Eta Services,245585.48,RUB
PR-1000045609,Purchase Order Created,2024-10-16T08:03:37,USR_BUYER04,ME21N,4500012306,NB,1000,1100,100,005,1000000789,Eta Services,1010356.22,RUB
PR-1000045678,Payment Run Executed,2024-10-16T09:28:46,USR_AP03,F110,1500023455,ZP,2000,2100,300,003,1000000234,Beta Office LLC,40027.63,RUB
PR-1000045692,RFQ Created,2024-10-16T10:06:10,USR_BUYER04,ME41,1000045693,AN,1000,1100,300,001,1000000567,Epsilon Software,4207836.72,RUB
PR-1000045678,Payment Completed,2024-10-16T10:30:46,USR_AP02,F110,1500023455,ZP,2000,2100,300,003,1000000234,Beta Office LLC,40027.63,RUB
PR-1000045603,Invoice Receipt Posted,2024-10-16T11:10:29,USR_AP02,MIRO,5100034501,RE,2000,2100,200,005,1000000123,Alpha Technologies,228871.92,RUB
PR-1000045631,RFQ Created,2024-10-16T11:29:40,USR_BUYER03,ME41,1000045632,AN,1000,1200,100,003,1000000123,Alpha Technologies,4103031.25,RUB
PR-1000045690,Purchase Order Created,2024-10-16T11:34:22,USR_BUYER01,ME21N,4500012368,NB,1000,1100,300,004,1000000234,Beta Office LLC,2431529.03,RUB
PR-1000045657,Purchase Order Released,2024-10-16T13:02:25,USR_APPR01,ME28,4500012342,NB,1000,1200,100,002,1000000789,Eta Services,3141822.97,RUB
PR-1000045635,Invoice Verified,2024-10-16T13:49:09,USR_AP03,MIR7,5100034525,RE,1000,1200,300,001,1000000789,Eta Services,245585.48,RUB
PR-1000045633,Purchase Order Released,2024-10-16T14:11:12,USR_APPR01,ME28,4500012324,NB,1000,1100,300,001,1000000567,Epsilon Software,485553.98,RUB
PR-1000045635,Payment Run Executed,2024-10-17T12:54:09,USR_AP01,F110,1500023424,ZP,1000,1200,300,001,1000000789,Eta Services,245585.48,RUB
PR-1000045638,Goods Receipt Posted,2024-10-17T13:55:42,USR_WH02,MIGO,5000078926,WE,2000,2100,100,004,1000000456,Delta Logistics,248804.67,RUB
PR-1000045635,Payment Completed,2024-10-17T14:08:09,USR_AP02,F110,1500023424,ZP,1000,1200,300,001,1000000789,Eta Services,245585.48,RUB
PR-1000045690,Purchase Order Released,2024-10-18T08:48:42,USR_APPR02,ME28,4500012368,NB,1000,1100,300,004,1000000234,Beta Office LLC,2431529.03,RUB
PR-1000045638,Invoice Receipt Posted,2024-10-18T12:38:19,USR_AP02,MIRO,5100034527,RE,2000,2100,100,004,1000000456,Delta Logistics,248804.67,RUB
PR-1000045682,Purchase Order Created,2024-10-18T12:38:34,USR_BUYER02,ME21N,4500012362,NB,2000,2100,300,003,1000000789,Eta Services,372515.41,RUB
PR-1000045603,Invoice Verified,2024-10-18T16:14:43,USR_AP02,MIR7,5100034501,RE,2000,2100,200,005,1000000123,Alpha Technologies,228871.92,RUB
PR-1000045644,Purchase Order Released,2024-10-18T17:32:24,USR_APPR02,ME28,4500012332,NB,2000,2100,200,005,1000000678,Zeta Industrial,367854.81,RUB
PR-1000045695,Purchase Requisition Created,2024-10-21T14:12:41,USR_REQ09,ME51N,1000045695,NB,1000,1100,100,003,1000000345,Gamma Supplies,98976.75,RUB
PR-1000045609,Purchase Order Released,2024-10-21T16:10:03,USR_APPR03,ME28,4500012306,NB,1000,1100,100,005,1000000789,Eta Services,1010356.22,RUB
PR-1000045638,Invoice Verified,2024-10-21T17:32:13,USR_AP01,MIR7,5100034527,RE,2000,2100,100,004,1000000456,Delta Logistics,248804.67,RUB
PR-1000045676,Purchase Requisition Released,2024-10-22T09:59:36,USR_APPR01,ME54N,1000045676,NB,1000,1200,200,005,1000000678,Zeta Industrial,1982406.44,RUB
PR-1000045607,Purchase Requisition Released,2024-10-22T11:17:42,USR_APPR02,ME54N,1000045607,NB,1000,1200,200,005,1000000456,Delta Logistics,1588668.28,RUB
PR-1000045682,Purchase Order Released,2024-10-22T12:18:36,USR_APPR02,ME28,4500012362,NB,2000,2100,300,003,1000000789,Eta Services,372515.41,RUB
PR-1000045659,Goods Receipt Posted,2024-10-22T12:37:21,USR_WH03,MIGO,5000078941,WE,2000,2100,200,002,1000000234,Beta Office LLC,241783.70,RUB
PR-1000045695,Purchase Requisition Released,2024-10-22T16:50:01,USR_APPR02,ME54N,1000045695,NB,1000,1100,100,003,1000000345,Gamma Supplies,98976.75,RUB
PR-1000045676,RFQ Created,2024-10-23T16:01:46,USR_BUYER04,ME41,1000045677,AN,1000,1200,200,005,1000000678,Zeta Industrial,1982406.44,RUB
PR-1000045607,RFQ Created,2024-10-23T16:08:46,USR_BUYER05,ME41,1000045608,AN,1000,1200,200,005,1000000456,Delta Logistics,1588668.28,RUB
PR-1000045641,Quotation Received,2024-10-23T16:35:53,USR_BUYER03,ME47,1000045642,AN,2000,2100,100,003,1000000456,Delta Logistics,3584158.73,RUB
PR-1000045694,Purchase Order Created,2024-10-24T09:37:37,USR_BUYER03,ME21N,4500012370,NB,2000,2100,100,001,1000000456,Delta Logistics,4092762.87,RUB
PR-1000045601,Quotation Received,2024-10-24T13:17:09,USR_BUYER02,ME47,1000045602,AN,2000,2100,100,001,1000000678,Zeta Industrial,1582127.25,RUB
PR-1000045670,Goods Receipt Posted,2024-10-24T13:19:58,USR_WH01,MIGO,5000078950,WE,1000,1200,300,002,1000000789,Eta Services,47557.52,RUB
PR-1000045692,Quotation Received,2024-10-24T13:26:07,USR_BUYER05,ME47,1000045693,AN,1000,1100,300,001,1000000567,Epsilon Software,4207836.72,RUB
PR-1000045641,Purchase Order Created,2024-10-24T14:55:47,USR_BUYER01,ME21N,4500012330,NB,2000,2100,100,003,1000000456,Delta Logistics,3584158.73,RUB
PR-1000045695,Purchase Order Created,2024-10-24T15:34:50,USR_BUYER04,ME21N,4500012371,NB,1000,1100,100,003,1000000345,Gamma Supplies,98976.75,RUB
PR-1000045652,Purchase Requisition Created,2024-10-24T16:51:47,USR_REQ03,ME51N,1000045652,NB,1000,1100,300,004,1000000345,Gamma Supplies,425650.13,RUB
PR-1000045694,Purchase Order Released,2024-10-25T08:04:12,USR_APPR03,ME28,4500012370,NB,2000,2100,100,001,1000000456,Delta Logistics,4092762.87,RUB
PR-1000045627,Goods Receipt Posted,2024-10-25T08:42:55,USR_WH03,MIGO,5000078918,WE,2000,2100,200,003,1000000234,Beta Office LLC,261275.02,RUB
PR-1000045681,Goods Receipt Posted,2024-10-25T08:48:46,USR_WH02,MIGO,5000078960,WE,1000,1100,200,005,1000000567,Epsilon Software,246160.91,RUB
PR-1000045652,Purchase Requisition Released,2024-10-25T10:54:38,USR_APPR03,ME54N,1000045652,NB,1000,1100,300,004,1000000345,Gamma Supplies,425650.13,RUB
PR-1000045604,Goods Receipt Posted,2024-10-25T17:04:24,USR_WH02,MIGO,5000078902,WE,1000,1200,200,001,1000000234,Beta Office LLC,335456.73,RUB
PR-1000045641,Purchase Order Released,2024-10-28T08:29:58,USR_APPR01,ME28,4500012330,NB,2000,2100,100,003,1000000456,Delta Logistics,3584158.73,RUB
PR-1000045601,Purchase Order Created,2024-10-28T09:05:24,USR_BUYER01,ME21N,4500012301,NB,2000,2100,100,001,1000000678,Zeta Industrial,1582127.25,RUB
PR-1000045621,Payment Run Executed,2024-10-28T09:17:56,USR_AP02,F110,1500023413,ZP,1000,1100,100,005,1000000678,Zeta Industrial,152209.90,RUB
PR-1000045621,Payment Completed,2024-10-28T09:53:56,USR_AP02,F110,1500023413,ZP,1000,1100,100,005,1000000678,Zeta Industrial,152209.90,RUB
PR-1000045692,Purchase Order Created,2024-10-28T11:28:19,USR_BUYER04,ME21N,4500012369,NB,1000,1100,300,001,1000000567,Epsilon Software,4207836.72,RUB
PR-1000045670,Invoice Receipt Posted,2024-10-28T11:47:07,USR_AP03,MIRO,5100034549,RE,1000,1200,300,002,1000000789,Eta Services,47557.52,RUB
PR-1000045615,Quotation Received,2024-10-28T14:44:18,USR_BUYER05,ME47,1000045616,AN,2000,2100,100,004,1000000567,Epsilon Software,795300.75,RUB
PR-1000045675,Goods Receipt Posted,2024-10-28T17:12:29,USR_WH01,MIGO,5000078955,WE,1000,1200,100,003,1000000456,Delta Logistics,62855.23,RUB
